channel_number,cycle_number,marker_name,Filter,excitation_wavelength,emission_wavelength,Bandwidth,ch_index,Split_Num
1,0,DNA_0,DAPI,405,445,46,0,0
2,0,Blank_488_0,GFP,488,521,38,1,1
3,0,Blank_561_0,RFP,561,594,43,2,2
4,0,Blank_637_0,Cy5,637,698,77,3,3
5,1,DNA_1,DAPI,405,445,46,0,4
6,1,NWS,GFP,488,521,38,1,5
7,1,VSVG,RFP,561,594,43,2,6
8,1,FLAG,Cy5,637,698,77,3,7
9,2,DNA_2,DAPI,405,445,46,0,8
10,2,HSV,GFP,488,521,38,1,9
11,2,C,RFP,561,594,43,2,10
12,2,S,Cy5,637,698,77,3,11
13,3,DNA_3,DAPI,405,445,46,0,12
14,3,Ollas,GFP,488,521,38,1,13
15,3,GFAP,RFP,561,594,43,2,14
16,3,NeuN,Cy5,637,698,77,3,15
17,4,DNA_4,DAPI,405,445,46,0,16
18,4,pRPS6,GFP,488,521,38,1,17
19,4,RANGAP1,RFP,561,594,43,2,18
20,4,NFKB,Cy5,637,698,77,3,19
21,5,DNA_5,DAPI,405,445,46,0,20
22,5,TOM20,GFP,488,521,38,1,21
23,5,LAMP1,RFP,561,594,43,2,22
24,5,4HNE,Cy5,637,698,77,3,23
25,6,DNA_6,DAPI,405,445,46,0,24
26,6,TDP43,GFP,488,521,38,1,25
27,6,Blank_561_6,RFP,561,594,43,2,26
28,6,G3BP1,Cy5,637,698,77,3,27
29,7,DNA_7,DAPI,405,445,46,0,28
30,7,GM130,GFP,488,521,38,1,29
31,7,Calnexin,RFP,561,594,43,2,30
32,7,Golgin97,Cy5,637,698,77,3,31
33,8,DNA_8,DAPI,405,445,46,0,32
34,8,SYTO,GFP,514,538,38,1,33
35,9,DNA_9,DAPI,405,445,46,0,34
36,9,ER,GFP,488,521,38,1,35
37,9,AGP,RFP,561,594,43,2,36
38,9,Catalase,Cy5,637,698,77,3,37